指标,地区,时间,数值
中央补助收入（万元）,江苏省,2010,9924300.00000
中央补助收入（万元）,江苏省,2011,12206900.00000
中央补助收入（万元）,江苏省,2012,13312700.00000
中央补助收入（万元）,江苏省,2013,13327600.00000
中央补助收入（万元）,江苏省,2014,13394500.00000
中央补助收入（万元）,江苏省,2015,14225000.00000
中央补助收入（万元）,江苏省,2016,16148900.00000
中央补助收入（万元）,江苏省,2017,17534700.00000
中央补助收入（万元）,江苏省,2018,17781400.00000
中央补助收入（万元）,江苏省,2019,20244500.00000
中央补助收入（万元）,江苏省,2020,22102300.00000
中央补助收入（万元）,江苏省,2021,21115100.00000
中央补助收入（万元）,江苏省,2022,27745100.00000
中央补助收入（万元）,江苏省,2023,28401400.00000
中央补助收入（万元）,江苏省,2024,23571900.00000
中央补助收入（万元）,浙江省,1995,1165295.00000
中央补助收入（万元）,浙江省,1996,1198312.00000
中央补助收入（万元）,浙江省,1997,1016388.00000
中央补助收入（万元）,浙江省,1998,1379964.00000
中央补助收入（万元）,浙江省,1999,1465164.00000
中央补助收入（万元）,浙江省,2000,1619338.00000
中央补助收入（万元）,浙江省,2001,1688621.00000
中央补助收入（万元）,浙江省,2002,2464953.00000
中央补助收入（万元）,浙江省,2003,2762202.00000
中央补助收入（万元）,浙江省,2004,3647706.00000
中央补助收入（万元）,浙江省,2005,3074901.00000
中央补助收入（万元）,浙江省,2006,3372108.00000
中央补助收入（万元）,浙江省,2007,3878556.00000
中央补助收入（万元）,浙江省,2008,4559802.00000
中央补助收入（万元）,浙江省,2009,6282422.00000
中央补助收入（万元）,浙江省,2010,7337500.00000
中央补助收入（万元）,浙江省,2011,9056800.00000
中央补助收入（万元）,浙江省,2012,9786300.00000
中央补助收入（万元）,浙江省,2013,9851800.00000
中央补助收入（万元）,浙江省,2014,9940500.00000
中央补助收入（万元）,浙江省,2015,10880100.00000
中央补助收入（万元）,浙江省,2016,10359100.00000
中央补助收入（万元）,浙江省,2017,11277500.00000
